index,word,value
0,,0
333,hedman,-0.6931471805599453
210,garland,-0.6931471805599453
259,bautista,-0.6931471805599453
191,combined,-1.0986122886681098
163,heat,0.16094379124341004
265,power,-0.03364722366212129
10,effective,0.16094379124341004
66,energy,-0.13609765531356008
96,solutions,0.16094379124341004
37,sustainable,-0.03364722366212129
49,future,0.16094379124341004
209,oak,0.16094379124341004
51,ridge,0.16094379124341004
252,national,0.16094379124341004
108,laboratory,0.0
87,ornl,0.0
286,shum,-0.6931471805599453
3,watanabe,-0.6931471805599453
273,photovoltaic,0.17328679513998632
197,deployment,0.17328679513998632
208,strategy,0.17328679513998632
203,japan,0.17328679513998632
246,usaan,0.13515503603605478
114,institutional,0.13515503603605478
76,appraisal,0.13515503603605478
66,energy,-0.8549831191538455
195,policy,-0.23104906018664842
388,1186-1195,0.13515503603605478
173,sinha,-0.6931471805599453
178,modelling,0.1831020481113516
158,economics,0.11552453009332421
191,combined,0.11552453009332421
151,wind/hydro/diesel,0.1831020481113516
265,power,-0.14121631006453395
344,systems,0.1831020481113516
66,energy,-0.569316821252439
30,conversion,0.17328679513998632
188,management,0.17328679513998632
50,577-585,0.17328679513998632
243,steenhof,-0.6931471805599453
70,mcinnis,-0.6931471805599453
29,comparison,0.17328679513998632
332,alternative,0.17328679513998632
275,technologies,-0.05578588782855243
350,de-,0.17328679513998632
0,carbonize,0.18325814637483104
313,canadas,0.18325814637483104
315,passenger,0.18325814637483104
126,transportation,0.18325814637483104
101,sector,0.18325814637483104
310,technological,0.0
222,forecasting,0.0
34,social,0.13515503603605478
130,change,0.0
24,1260-1278,0.13515503603605478
307,stefansson,-0.6931471805599453
324,investment,0.10216512475319815
207,cost,0.10216512475319815
192,geothermal,0.18325814637483104
265,power,-0.20592388343623164
266,plants,0.04462871026284196
103,geothermics,0.0
153,263-,0.0
133,sundararagavan,-0.6931471805599453
194,baker,-0.6931471805599453
340,evaluating,0.18325814637483104
66,energy,-0.4108247467391093
152,storage,0.10216512475319815
275,technologies,0.0
143,wind,0.04462871026284196
265,power,-0.9729550745276567
35,integration,-0.20273255405408222
371,solar,-0.34657359027997264
66,energy,-1.4852072327848507
294,hoeve,-0.6931471805599453
202,jacobson,-0.6931471805599453
179,worldwide,0.17328679513998632
121,health,0.0
5,effects,0.17328679513998632
54,fukushima,0.17328679513998632
99,daiichi,0.13515503603605478
72,nuclear,0.13515503603605478
79,accident,0.13515503603605478
66,energy,-0.569316821252439
36,environmental,0.07192051811294521
28,science,0.17328679513998632
17,8743-8757,0.17328679513998632
304,tester,-0.6931471805599453
37,sustainable,-0.14121631006453395
66,energy,-0.31196702948359856
369,choosing,0.1831020481113516
113,options,0.1831020481113516
328,mit,0.1831020481113516
354,press,0.1831020481113516
274,tomić,-0.6931471805599453
94,kempton,-0.6931471805599453
7,fleets,0.18325814637483104
216,electric-drive,0.18325814637483104
357,vehicles,0.18325814637483104
256,grid,0.18325814637483104
383,support,0.10216512475319815
230,journal,0.17328679513998632
265,power,-0.313190742123842
120,sources,0.0
122,459-468,0.17328679513998632
227,tremeac,-0.6931471805599453
15,meunier,-0.6931471805599453
176,life,0.13515503603605478
128,cycle,0.13515503603605478
262,analysis,0.13515503603605478
376,mw,0.17328679513998632
389,250w,0.17328679513998632
143,wind,0.0
140,turbines,0.17328679513998632
380,renewable,-0.03646431135879092
37,sustainable,-0.20592388343623164
66,energy,-0.4108247467391093
137,reviews,0.10216512475319815
336,2104-2110,0.18325814637483104
82,tsoutsos,-0.6931471805599453
342,frantzeskaki,-0.6931471805599453
215,gekas,-0.6931471805599453
36,environmental,0.0
229,impacts,-0.09589402415059363
371,solar,-0.09589402415059363
66,energy,-1.4852072327848507
275,technologies,-0.4581453659370775
66,energy,-0.8549831191538455
195,policy,-0.23104906018664842
258,289-296,0.13515503603605478
232,vojdani,-0.6931471805599453
220,smart,0.0
35,integration,-0.20273255405408222
265,power,-0.20592388343623164
66,energy,-0.4108247467391093
190,magazine,0.18325814637483104
263,ieee,0.10216512475319815
237,71-79,0.18325814637483104
104,wagner,-0.6931471805599453
276,-j,-1.0986122886681098
339,pick,-0.6931471805599453
66,energy,-0.49075757059266656
295,yield,0.17896613835648115
164,ratio,0.17896613835648115
326,cumulative,0.17896613835648115
66,energy,-0.49075757059266656
161,demand,0.07994511256220323
143,wind,0.07994511256220323
66,energy,-1.4852072327848507
39,converters,0.0
66,energy,-1.4852072327848507
355,2289-2295,0.0
368,weiller,-0.6931471805599453
124,plug-in,0.17328679513998632
181,hybrid,0.17328679513998632
19,electric,0.17328679513998632
279,vehicle,0.17328679513998632
229,impacts,0.08664339756999316
363,hourly,0.17328679513998632
91,electricity,-0.050683138513520555
161,demand,0.08664339756999316
345,united,-0.20273255405408222
134,states,-0.20273255405408222
66,energy,-0.8549831191538455
195,policy,-0.23104906018664842
31,3766-3778,0.13515503603605478
379,wille-haussmann,-0.6931471805599453
127,erge,-0.6931471805599453
351,wittwer,-0.6931471805599453
59,decentralised,0.0
384,optimisation,0.0
33,cogeneration,0.17328679513998632
26,virtual,0.07192051811294521
265,power,-0.313190742123842
266,plants,0.0
371,solar,-0.09589402415059363
66,energy,-0.8549831191538455
6,604-611,0.13515503603605478
38,wirl,-0.6931471805599453
311,optimal,0.1831020481113516
1,capacity,0.11552453009332421
364,expansion,0.1831020481113516
44,hydro,0.1831020481113516
265,power,-0.14121631006453395
266,plants,0.06757751801802739
66,energy,-1.4852072327848507
